"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINB2",331.612902319906,5.85560130535678,0.584093795018358,10.0251044529119,1.18234519291899e-23,5.98109021591286e-21
"KRT7",195.280157720013,4.75976788953738,0.485137086752237,9.81118125064768,1.0078179598385e-22,4.93375656726099e-20
"SLC2A3",9432.54564058389,2.80399339408845,0.296896588421592,9.44434359786846,3.57638820204133e-21,1.6961021048181e-18
"THBS2",1022.80468959439,2.5889195726275,0.280890350854301,9.21683341828422,3.06003409722299e-20,1.40724477149867e-17
"SLC2A14",2481.06357631446,2.75578161798823,0.302637332049612,9.10588789335636,8.55636598032985e-20,3.81915912110252e-17
"VCAN",5934.26272325813,1.84041540066848,0.202806990080393,9.07471384462113,1.13976596592442e-19,4.94202522824827e-17
"OLFM4",25540.9171796541,2.96762229216116,0.329636411009317,9.00271387822287,2.20205666511567e-19,9.28289220827651e-17
"TNC",10919.8796528146,2.21925069243175,0.248308361814836,8.93747869065581,3.98150453120575e-19,1.63306250717779e-16
"DGAT2",805.838939178852,2.61885145842057,0.296298243997933,8.8385655719203,9.69553292375676e-19,3.87208967502454e-16
"APLN",256.366731589213,2.94859076389576,0.339964453522939,8.6732325492871,4.20022942094536e-18,1.63442773569915e-15
"ITGA5",11266.4073077754,1.89969315590316,0.219756213945109,8.64454807351964,5.40186685669827e-18,2.04946828543132e-15
"ADAMTS4",1042.94092013657,2.00973407051411,0.237299802228171,8.46917718280141,2.47132514968633e-17,9.14751962722921e-15
"GPR84",720.763126250594,3.55730888906255,0.421505323245089,8.43953490711698,3.18602845207705e-17,1.15121828068384e-14
"HTR3A",183.116064082686,-2.86969208032153,0.341315421073029,-8.40774223238955,4.17978493084658e-17,1.47517246768669e-14
"NFE2",311.496173327051,3.47992630346824,0.418078432131554,8.32362072763712,8.53162951988927e-17,2.94263658167817e-14
"OLR1",752.573886084985,4.64575238349039,0.558909048635762,8.31217958419207,9.39600869604589e-17,3.16875173269317e-14
"LILRA5",526.445221668115,1.92596966066911,0.232064548301244,8.29928429295887,1.04740455459217e-16,3.45552424358494e-14
"FCGR3A",4471.04258047484,2.24891838872486,0.27215485007199,8.26337795607896,1.41606972866635e-16,4.57239876643415e-14
"FCGR1A",960.555840249227,1.83884818374578,0.225480083144975,8.15525769769864,3.48436124461231e-16,1.10163888017159e-13
"HOXD10",68.1348795149123,-5.12936807158652,0.63592177095421,-8.06603627343946,7.26172428356417e-16,2.24905974953816e-13
"P2RY6",439.739901088687,1.83249401027631,0.229621195434883,7.98050897176859,1.45731107135874e-15,4.42323056378806e-13
"ADCYAP1",405.760302246601,2.04974209019137,0.25815999699123,7.93981296126603,2.02486359725665e-15,6.02535881411115e-13
"P4HA3",148.273895533986,2.67801668794599,0.339016866222438,7.89936122584788,2.80336357145798e-15,8.18150876162429e-13
